squareFeet,bathrooms,bedrooms,full_url,url,price,price_noformat,saleDate,address,full_address,image,returned_address,latitude,longitude,accuracy
3200,2,5,http://auctions.buildingdetroit.org/Listing/Details/906242/18115-Cherrylawn,/Listing/Details/906242/18115-Cherrylawn,"$1,500 ",1500,11/9/2014,18115 Cherrylawn,"18115 Cherrylawn, Detroit, MI",Content/listingImages/20141015/0e87b266-0bb2-40df-af85-7ccf1dc6a8a7_thumbcrop.jpg,"18115 Cherrylawn Street, Detroit, MI 48221, USA",42.424082,-83.155401,9
3100,3,6,http://auctions.buildingdetroit.org/Listing/Details/570247/1405-Chicago,/Listing/Details/570247/1405-Chicago,"$45,100 ",45100,7/30/2014,1405 Chicago,"1405 Chicago, Detroit, MI",Content/listingImages/20140710/12ac5e86-60ac-437b-bf2e-1868bb7bc327_thumbcrop.jpg,"1405 Chicago Boulevard, Detroit, MI 48206, USA",42.381641,-83.095919,9
3100,2.1,6,http://auctions.buildingdetroit.org/Listing/Details/676869/1903-Calvert,/Listing/Details/676869/1903-Calvert,"$1,000 ",1000,8/18/2014,1903 Calvert,"1903 Calvert, Detroit, MI",Content/listingImages/20140814/f1ea9a7a-1a93-44d3-859b-cfd3a82cfa25_thumbcrop.jpg,"1903 Calvert Avenue, Detroit, MI 48206, USA",42.382603,-83.10388,9
3100,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/626126/1725-W-Boston,/Listing/Details/626126/1725-W-Boston,"$73,100 ",73100,8/4/2014,1725 W. Boston,"1725 W. Boston, Detroit, MI",Content/listingImages/20140725/da3d0d69-361a-478a-8032-637f6b2f10c0_thumbcrop.jpg,"1725 West Boston Boulevard, Detroit, MI 48206, USA",42.380987,-83.101648,9
3100,2,6,http://auctions.buildingdetroit.org/Listing/Details/761808/1915-Calvert,/Listing/Details/761808/1915-Calvert,"$5,300 ",5300,9/22/2014,1915 Calvert,"1915 Calvert, Detroit, MI",Content/listingImages/20140828/9a07b90e-bfc2-4079-8254-c385e07d205e_thumbcrop.jpg,"1915 Calvert Avenue, Detroit, MI 48206, USA",42.382547,-83.104034,9
3100,2,6,http://auctions.buildingdetroit.org/Listing/Details/683192/1915-Calvert,/Listing/Details/683192/1915-Calvert,"$1,000 ",1000,8/19/2014,1915 Calvert,"1915 Calvert, Detroit, MI",Content/listingImages/20140814/89edbcab-778c-444b-adee-2b3042d7918f_thumbcrop.jpg,"1915 Calvert Avenue, Detroit, MI 48206, USA",42.382547,-83.104034,9
3000,3.1,4,http://auctions.buildingdetroit.org/Listing/Details/573384/1615-Chicago,/Listing/Details/573384/1615-Chicago,"$26,000 ",26000,7/29/2014,1615 Chicago,"1615 Chicago, Detroit, MI",Content/listingImages/20140715/70267e0c-7fea-47bc-b478-2ea075c180aa_thumbcrop.jpg,"1615 Chicago Boulevard, Detroit, MI 48206, USA",42.38052,-83.09904,9
3000,3.1,6,http://auctions.buildingdetroit.org/Listing/Details/480760/571-East-Grand-Blvd,/Listing/Details/480760/571-East-Grand-Blvd,"$62,600 ",62600,6/25/2014,571 East Grand Blvd.,"571 East Grand Blvd., Detroit, MI",Content/listingImages/20140616/95cb7869-e8e2-4fab-a992-b7f9d62a31bd_thumbcrop.jpg,"571 East Grand Boulevard, Detroit, MI 48207, USA",42.358836,-83.010093,9
3000,2.2,4,http://auctions.buildingdetroit.org/Listing/Details/466498/115-Chicago-Blvd,/Listing/Details/466498/115-Chicago-Blvd,"$97,900 ",97900,6/6/2014,115 Chicago Blvd,"115 Chicago Blvd, Detroit, MI",Content/listingImages/20140531/b9bcb6f9-694d-4f0e-9ba1-b214b55ce2d5_thumbcrop.jpg,"115 Chicago Boulevard, Detroit, MI 48202, USA",42.385271,-83.086062,9
3000,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/624252/1630-Edison,/Listing/Details/624252/1630-Edison,"$13,300 ",13300,8/3/2014,1630 Edison,"1630 Edison, Detroit, MI",Content/listingImages/20140725/9c75d8b9-b434-414d-adb6-662891f44463_thumbcrop.jpg,"1630 Edison Street, Detroit, MI 48206, USA",42.379182,-83.098452,9
